LGA,LGA ID,Confirmed cases (ever),Active cases (current)
HUME,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/23270,416,222
MELBOURNE,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/24600,312,217
WYNDHAM,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/27260,306,209
BRIMBANK,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/21180,271,127
MOONEE VALLEY,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/25060,271,178
MORELAND,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/25250,200,88
CASEY,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/21610,144,23
BANYULE,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/20660,140,42
WHITTLESEA,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/27070,137,64
MELTON,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/24650,127,51
MARIBYRNONG,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/24330,84,43
DAREBIN,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/21890,106,42
YARRA,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/27350,86,41
HOBSONS BAY,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/23110,57,26
WHITEHORSE,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/26980,52,24
MONASH,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/24970,76,22
PORT PHILLIP,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/25900,72,19
STONNINGTON,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/26350,120,18
BOROONDARA,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/21110,94,18
MANNINGHAM,http://linked.data.gov.au/dataset/asgs2016/localgovernmentarea/24210,54,17
